#P;id_piece;id_gauche;id_haut;id_droite;id_bas
P;0;1;1;2;3
P;1;2;1;9;8
P;2;9;1;5;4
P;3;5;1;7;3
P;4;7;1;9;2
P;5;9;1;1;5
P;6;1;3;6;8
P;7;6;8;7;5
P;8;7;4;9;6
P;9;9;3;6;3
P;10;6;2;8;7
P;11;8;5;1;4
P;12;1;8;3;9
P;13;3;5;4;2
P;14;4;6;8;9
P;15;8;3;2;5
P;16;2;7;5;7
P;17;5;4;1;9
P;18;1;9;6;7
P;19;6;2;8;5
P;20;8;9;7;3
P;21;7;5;9;4
P;22;9;7;3;8
P;23;3;9;1;6
P;24;1;7;2;5
P;25;2;5;4;6
P;26;4;3;8;3
P;27;8;4;3;4
P;28;3;8;5;2
P;29;5;6;1;7
P;30;1;5;8;1
P;31;8;6;9;1
P;32;9;3;6;1
P;33;6;4;7;1
P;34;7;2;4;1
P;35;4;7;1;1
